feature,Fold_0_importance,Fold_1_importance,Fold_2_importance,Fold_3_importance,Fold_4_importance,Fold_5_importance,Fold_6_importance,Fold_7_importance,Fold_8_importance,Fold_9_importance,Fold_10_importance,Fold_11_importance,Fold_12_importance,Fold_13_importance,Fold_14_importance,mean_importance,std_importance,variance,cv
exponential_glrlm_LongRunHighGrayLevelEmphasis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016460626,0.0,0.0,0.0,0.0,0.0,0.0,0.0066917366,0.0005558532800000001,0.001749576842177987,3.0610191266854967e-06,3.1475515304649937
exponential_glrlm_LongRunLowGrayLevelEmphasis,0.0,0.0,0.0,0.0010108387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017973784,0.0,0.0,0.0012656415133333332,0.004629493797937489,2.1432212825141673e-05,3.6578239170938245
exponential_glrlm_RunEntropy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
exponential_glrlm_ShortRunHighGrayLevelEmphasis,0.0,0.11333545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007555696666666667,0.02926308735899489,0.0008563282817801665,3.8729833462074166
exponential_glrlm_ShortRunHighGrayLevelEmphasis_lag_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
exponential_glszm_GrayLevelNonUniformity,0.0,0.0,0.0,0.0,0.0024392852,0.0,0.0,0.0,0.0,0.010015838,0.0,0.03271775,0.0,0.0,0.0,0.0030115248799999998,0.008621729428140098,7.433421833205698e-05,2.862911571940956
exponential_glszm_GrayLevelVariance,0.0,0.0,0.0057710484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038473656,0.0014900782895571308,2.2203333090095047e-06,3.8729833462074175
exponential_glszm_HighGrayLevelZoneEmphasis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010370247,0.0052796407,0.0,0.0,0.0,0.00042111102666666665,0.0013703495043706074,1.8778577641287695e-06,3.2541287631855744
exponential_glszm_SizeZoneNonUniformity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
exponential_glszm_SmallAreaHighGrayLevelEmphasis,0.0,0.0,0.0,0.0,0.0011424001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011295721,0.000225318,0.0008442292733333333,0.002906376156833591,8.447022365010794e-06,3.4426384498113047
gradient_firstorder_90Percentile,0.0052240854,0.0,0.0,0.0,0.02172965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017969156933333335,0.005675984290064204,3.221679766105564e-05,3.158737113333948
gradient_firstorder_Kurtosis,0.033057127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022038084666666665,0.008535313489630904,7.285157636627529e-05,3.872983346207418
gradient_glcm_ClusterProminence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
gradient_glcm_Imc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
gradient_glrlm_RunEntropy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
gradient_glszm_GrayLevelNonUniformityNormalized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011901615,0.0,0.0007934410000000001,0.003072983779198159,9.443229307215e-06,3.8729833462074166
gradient_glszm_LargeAreaEmphasis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
gradient_glszm_SizeZoneNonUniformityNormalized,0.0,0.0,0.0010454445,0.0014120949,0.0,0.0,0.0010540221,0.0,0.0,0.00043149502,0.00050965045,0.0002278184,0.0002588156,0.00035344964,0.0003120544,0.000373656334,0.00045440430594250765,2.064832732590921e-07,1.2161022431443853
