feature,importance
slope_3_original_glszm_SizeZoneNonUniformity,0.0
slope_3_log-sigma-2-0-mm-3D_glszm_ZoneEntropy,0.0
slope_3_wavelet-LL_glrlm_LongRunLowGrayLevelEmphasis,0.0
slope_3_wavelet-HH_gldm_DependenceEntropy,0.0
slope_3_log-sigma-1-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.0
slope_3_log-sigma-2-0-mm-3D_gldm_DependenceEntropy,0.0
slope_3_logarithm_glszm_HighGrayLevelZoneEmphasis,0.0
slope_3_original_ngtdm_Busyness,0.0
slope_3_log-sigma-2-0-mm-3D_glcm_JointEntropy,0.0
slope_3_log-sigma-3-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.0
slope_3_squareroot_firstorder_Mean,0.0
slope_3_logarithm_glcm_Autocorrelation,0.0
slope_3_wavelet-HL_gldm_LargeDependenceHighGrayLevelEmphasis,0.0
slope_3_square_glszm_HighGrayLevelZoneEmphasis,0.0
slope_3_square_glszm_LargeAreaHighGrayLevelEmphasis,0.0
slope_3_log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.0
original_shape2D_MajorAxisLength_lag_1,0.0
squareroot_firstorder_Mean_lag_1,0.0
logarithm_glcm_Autocorrelation_lag_1,0.0
log-sigma-3-0-mm-3D_firstorder_Range_lag_1,0.0
logarithm_glszm_SmallAreaHighGrayLevelEmphasis_lag_1,0.0
slope_3_original_shape2D_Elongation,0.0
slope_3_square_glrlm_ShortRunHighGrayLevelEmphasis,0.0
slope_3_square_gldm_DependenceNonUniformityNormalized,0.0
slope_3_squareroot_glcm_Autocorrelation,0.0
slope_3_exponential_firstorder_Entropy,0.0
slope_3_exponential_gldm_DependenceEntropy,0.0
slope_3_wavelet-LH_firstorder_Skewness,0.0
slope_3_log-sigma-1-0-mm-3D_firstorder_Skewness,0.0
slope_3_exponential_glrlm_GrayLevelNonUniformityNormalized,0.0
slope_3_original_glrlm_RunEntropy,0.0
slope_3_log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.0
rolling_mean_3_original_ngtdm_Coarseness,0.0
rolling_mean_3_log-sigma-1-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.0
rolling_mean_3_squareroot_glcm_ClusterShade,0.0
rolling_mean_3_original_firstorder_Maximum,0.0
delta_2_wavelet-LL_glrlm_RunEntropy,0.0
delta_2_log-sigma-1-0-mm-3D_gldm_DependenceEntropy,0.0
delta_2_square_glrlm_ShortRunHighGrayLevelEmphasis,0.0
delta_2_log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.0
delta_2_square_gldm_DependenceNonUniformityNormalized,0.0
slope_3_log-sigma-3-0-mm-3D_firstorder_Range,0.0
delta_2_exponential_gldm_DependenceEntropy,0.0
delta_2_wavelet-LH_firstorder_Skewness,0.0
delta_2_logarithm_glszm_GrayLevelVariance,0.0
delta_2_wavelet-LL_glrlm_LongRunHighGrayLevelEmphasis,0.0
delta_2_original_glrlm_LongRunHighGrayLevelEmphasis,0.0
delta_2_log-sigma-1-0-mm-3D_firstorder_Skewness,0.0
delta_2_exponential_glrlm_GrayLevelNonUniformityNormalized,0.0
delta_2_wavelet-LL_gldm_DependenceNonUniformityNormalized,0.0
delta_2_original_glrlm_RunEntropy,0.0
delta_2_square_glszm_GrayLevelNonUniformityNormalized,0.0
delta_2_log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.0
delta_2_original_shape2D_Elongation,0.0
gradient_ngtdm_Strength,0.0
gradient_glszm_ZoneVariance,0.0
exponential_glszm_GrayLevelVariance,0.0
exponential_glcm_Imc1,0.0
exponential_gldm_DependenceNonUniformityNormalized,0.0
exponential_glrlm_GrayLevelNonUniformityNormalized,0.0
exponential_glrlm_LongRunLowGrayLevelEmphasis,0.0
exponential_glrlm_RunEntropy,0.0
exponential_glrlm_ShortRunHighGrayLevelEmphasis,0.0
exponential_glszm_GrayLevelNonUniformity,0.0
exponential_glszm_HighGrayLevelZoneEmphasis,0.0
gradient_glszm_LargeAreaEmphasis,0.0
exponential_glszm_SizeZoneNonUniformity,0.0
gradient_firstorder_90Percentile,0.0
gradient_firstorder_Kurtosis,0.0
gradient_glcm_ClusterProminence,0.0
gradient_glcm_Imc1,0.0
gradient_glrlm_RunEntropy,0.0
gradient_glszm_GrayLevelNonUniformityNormalized,0.0
delta_2_squareroot_glcm_Autocorrelation,0.0
