feature,mean_importance,std_importance,n_folds_selected
feat_133,0.0019209739519283175,0.0026821975096469656,10
feat_78,0.0018821838544681667,0.003499538948431249,10
feat_45,0.0018558565410785378,0.0028449795202021553,10
feat_65,0.0018455277662724257,0.002976687747165309,10
feat_239,0.001751692674588412,0.0021228432692430316,10
feat_21,0.0017180189955979587,0.002812351927868628,10
feat_113,0.0017116751012508757,0.002646364273137032,10
feat_124,0.0016706119058653712,0.003917687726941982,10
feat_216,0.0016634175204671918,0.0035774462993908565,10
feat_68,0.001632231823168695,0.003010160869074057,10
feat_54,0.001562146400101483,0.0015820088480987683,10
feat_240,0.0015405156300403178,0.0037589953488052024,10
feat_224,0.00153826295863837,0.0019173748173123917,10
feat_232,0.00145835774455918,0.0023513666253726618,10
feat_134,0.0014247262821299954,0.0019855901478380337,10
feat_196,0.00139700120780617,0.0018229031017304909,10
feat_218,0.0013940016739070415,0.002146939786304204,10
feat_152,0.0013578528072685004,0.002085264482213176,10
feat_213,0.0013389703817665577,0.003204327381189119,10
feat_108,0.0013348741456866264,0.0021233987436966753,10
feat_189,0.0012626411713426932,0.0032647514241275623,10
feat_95,0.0012519882060587407,0.0030038790192701043,10
feat_26,0.0011384689307305962,0.003115248034292849,10
feat_148,0.0010783446836285294,0.0022030846651010867,10
feat_8,0.0010374719160608948,0.0013490600646309278,10
feat_18,0.0009190317126922309,0.0022830142854682535,10
feat_231,0.000907423160970211,0.0018272297787750452,10
feat_87,0.0008829060010612011,0.002648718003183603,10
feat_103,0.0008552250335924327,0.001784448319423504,10
feat_32,0.0008079303428530693,0.002423791028559208,10
feat_9,0.0006925715599209071,0.0020777146797627214,10
feat_75,0.0006519368384033441,0.0013688384238870908,10
feat_49,0.0005705718416720629,0.0017117155250161887,10
feat_128,0.0005528550478629768,0.0013155158176456445,10
feat_125,0.0004938544880133122,0.0010353721199501448,10
feat_73,0.0004836397711187601,0.0014509193133562803,10
feat_52,0.0004716312192613259,0.0006610808674566325,10
feat_120,0.0004707494284957647,0.0014122482854872942,10
feat_16,0.00043915569181081083,0.0006748111923175247,10
feat_211,0.0004294023849070072,0.0009456611652727225,10
feat_74,0.0003044263459742069,0.0006157820624643289,10
feat_249,0.00029442694503813984,0.0008832808351144195,10
feat_104,0.00029319117311388254,0.0008795735193416476,10
feat_72,0.0001722022658213973,0.000516606797464192,10
feat_202,0.00014687003567814827,0.0004406101070344448,10
feat_13,8.03376140538603e-05,0.00024101284216158093,10
feat_182,5.512672360055149e-05,0.00016538017080165447,10
feat_0,5.3364213090389964e-05,0.0001600926392711699,10
feat_178,3.4269611205672846e-06,1.0280883361701854e-05,10
feat_199,0.0,0.0,10
feat_35,0.0,0.0,10
feat_85,0.0,0.0,10
feat_82,0.0,0.0,10
feat_77,0.0,0.0,10
feat_69,0.0,0.0,10
feat_237,0.0,0.0,10
feat_60,0.0,0.0,10
feat_57,0.0,0.0,10
feat_43,0.0,0.0,10
feat_241,0.0,0.0,10
feat_40,0.0,0.0,10
feat_244,0.0,0.0,10
feat_101,0.0,0.0,10
feat_33,0.0,0.0,10
feat_31,0.0,0.0,10
feat_29,0.0,0.0,10
feat_22,0.0,0.0,10
feat_15,0.0,0.0,10
feat_11,0.0,0.0,10
feat_10,0.0,0.0,10
feat_7,0.0,0.0,10
feat_253,0.0,0.0,10
feat_6,0.0,0.0,10
feat_94,0.0,0.0,10
feat_230,0.0,0.0,10
feat_197,0.0,0.0,10
feat_115,0.0,0.0,10
feat_194,0.0,0.0,10
feat_193,0.0,0.0,10
feat_192,0.0,0.0,10
feat_186,0.0,0.0,10
feat_185,0.0,0.0,10
feat_176,0.0,0.0,10
feat_175,0.0,0.0,10
feat_215,0.0,0.0,10
feat_174,0.0,0.0,10
feat_170,0.0,0.0,10
